CustomerID,AmountSpent,ProductCategory,LoginFrequency,ServiceUsage,ChurnStatus,Days_Since_Last_Transaction,Days_Since_last_Interaction,Days_Since_Last_Login
1,416.5,Electronics,34,Mobile App,0,1278,1274.0,705
2,54.96,Clothing,5,Website,1,1144,1288.0,660
2,197.5,Electronics,5,Website,1,1158,1288.0,660
2,101.31,Furniture,5,Website,1,1339,1288.0,660
2,397.37,Clothing,5,Website,1,1159,1288.0,660
2,285.21,Electronics,5,Website,1,1355,1288.0,660
2,311.34,Electronics,5,Website,1,1105,1288.0,660
2,199.73,Groceries,5,Website,1,1041,1288.0,660
3,241.06,Books,3,Website,0,1083,1128.0,680
3,51.07,Clothing,3,Website,0,1137,1128.0,680
3,419.95,Furniture,3,Website,0,1104,1128.0,680
3,287.72,Groceries,3,Website,0,1174,1128.0,680
3,299.86,Groceries,3,Website,0,1303,1128.0,680
3,403.32,Furniture,3,Website,0,1322,1128.0,680
4,125.64,Electronics,2,Website,0,1152,1042.0,762
4,125.64,Electronics,2,Website,0,1152,1180.0,762
4,123.59,Groceries,2,Website,0,1029,1042.0,762
4,123.59,Groceries,2,Website,0,1029,1180.0,762
4,241.45,Electronics,2,Website,0,1008,1042.0,762
4,241.45,Electronics,2,Website,0,1008,1180.0,762
4,44.22,Clothing,2,Website,0,1003,1042.0,762
4,44.22,Clothing,2,Website,0,1003,1180.0,762
4,382.39,Furniture,2,Website,0,1222,1042.0,762
4,382.39,Furniture,2,Website,0,1222,1180.0,762
5,475.69,Groceries,41,Website,0,1312,,699
5,178.91,Furniture,41,Website,0,1140,,699
5,373.51,Groceries,41,Website,0,1028,,699
5,155.76,Electronics,41,Website,0,1070,,699
5,308.8,Electronics,41,Website,0,1179,,699
5,219.98,Furniture,41,Website,0,1121,,699
5,218.98,Electronics,41,Website,0,1009,,699
5,69.86,Groceries,41,Website,0,1219,,699
6,365.57,Books,2,Website,0,1141,1239.0,739
6,448.86,Clothing,2,Website,0,1062,1239.0,739
6,41.7,Furniture,2,Website,0,1143,1239.0,739
6,104.0,Furniture,2,Website,0,1180,1239.0,739
6,204.16,Electronics,2,Website,0,1073,1239.0,739
7,86.73,Books,32,Mobile App,0,1067,,992
8,263.24,Books,17,Online Banking,1,1066,1245.0,887
8,263.24,Books,17,Online Banking,1,1066,1108.0,887
8,483.91,Clothing,17,Online Banking,1,1051,1245.0,887
8,483.91,Clothing,17,Online Banking,1,1051,1108.0,887
8,240.92,Books,17,Online Banking,1,1177,1245.0,887
8,240.92,Books,17,Online Banking,1,1177,1108.0,887
8,346.24,Clothing,17,Online Banking,1,1203,1245.0,887
8,346.24,Clothing,17,Online Banking,1,1203,1108.0,887
8,253.68,Furniture,17,Online Banking,1,1170,1245.0,887
